"SampleID","INDEX_NAME","INDEX_CLASS","L1","L2","L3","L4","L5","L6","Membership_Total","Membership_Total_QC","Primary_BCG_Level","Primary_Membership","Secondary_BCG_Level","Secondary_Membership","Membership_Diff","Membership_Close","Continuous_BCG_Level","BCG_Status","BCG_Status2"
"BRParm2017","LBR_Fish_BCG_v1","Main_NotusParma",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"239135f6-152c-4f94-81d1-cd9e7bfc2106","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.601449275362319,0.39855072,0,1,"PASS",4,0.601449275362319,5,0.39855072,0.202898555362319,NA,4.39855070144928,"4","4-"
"46a1e042-6cfe-4e7a-ad1a-e284feef8c33","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"BRSouthChan1995","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRSouthChan1996","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.666666666666667,0.33333333,0,1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-"
"BRSouthChan2003","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRSouthChan2005","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRSouthChan2017","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.666666666666667,0.33333333,0,1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-"
"BRupstWB1995","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.689655172413793,0.31034483,0,1,"PASS",4,0.689655172413793,5,0.31034483,0.379310342413793,NA,4.31034483965517,"4","4-"
"BRupstWB1996","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.333333333333333,0.66666667,0,1,"PASS",5,0.66666667,4,0.333333333333333,0.333333336666667,NA,4.66666668333333,"5","5+"
"BRupstWB2003","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRupstWB2017","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"e081294e-0e46-4b4d-becb-8db4910fab7e","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,0.666666666666667,0.33333333,0,1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-"
"eda15134-49a2-4d77-9191-ebd1876acccd","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"f9c06310-4a52-4d24-b9cf-e57497da794f","LBR_Fish_BCG_v1","Main_SoChannel",0,0,0.333333333333333,0.66666667,0,0,1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+"
"6126b9b7-3511-42ee-acff-1f0f2be4f836","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.666666666666667,0.33333333,0,0,1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-"
"BRGlen1995","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,0.721311475409836,0.27868852,0,1,"PASS",4,0.721311475409836,5,0.27868852,0.442622955409836,NA,4.27868850163934,"4","4-"
"BRGlen1996","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRGlen2001","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.333333333333333,0.66666667,0,0,1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+"
"BRGlen2003","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.666666666666667,0.33333333,0,0,1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-"
"BRGlen2004","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,0.87248322147651,0.12751678,0,1,"PASS",4,0.87248322147651,5,0.12751678,0.74496644147651,NA,4.12751678590604,"4","4-"
"BRGlen2005","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRGlen2014","LBR_Fish_BCG_v1","Main_VetGlen",0,0,1,0,0,0,1,"PASS",3,1,NA,0,1,NA,3,"3","3"
"BRGlen2017","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.25,0.75,0,0,1,"PASS",4,0.75,3,0.25,0.5,NA,3.75,"4","4+"
"BRVetMem1995","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"BRVetMem1996","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,0.666666666666667,0.33333333,0,1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-"
"BRVetMem2003","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.666666666666667,0.33333333,0,0,1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-"
"BRVetMem2005","LBR_Fish_BCG_v1","Main_VetGlen",0,0,1,0,0,0,1,"PASS",3,1,NA,0,1,NA,3,"3","3"
"BRVetMem2017","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.326252950159656,0.67374705,0,0,1,"PASS",4,0.67374705,3,0.326252950159656,0.347494099840344,NA,3.67374705047897,"4","4+"
"c114e631-92cb-4abf-b6ea-033087bf9976","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.75,0.25,0,0,1,"PASS",3,0.75,4,0.25,0.5,NA,3.25,"3","3-"
"cf1764a0-4741-4b76-ba53-afd859933eac","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"d431fc87-f222-499f-90cc-d7a26a249ad1","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0,1,0,0,1,"PASS",4,1,NA,0,1,NA,4,"4","4"
"fe6b180a-ec70-417f-b7a5-4ac38018636a","LBR_Fish_BCG_v1","Main_VetGlen",0,0,0.75,0.25,0,0,1,"PASS",3,0.75,4,0.25,0.5,NA,3.25,"3","3-"
