"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","INCLUDE_PARAMETER","INCLUDE_SYMBOL","INCLUDE_THRESHOLD","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_Cott","92861508-db6f-4890-b2ca-183041768c91",1,3,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L3_Rule0_d_ac_yoy_Cott"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_Cott","92861508-db6f-4890-b2ca-183041768c91",1,2,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L2_Rule0_d_ac_yoy_Cott"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_Cott","e30ce930-9753-439b-9aea-6e2c97268482",1,3,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L3_Rule0_d_ac_yoy_Cott"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_Cott","e30ce930-9753-439b-9aea-6e2c97268482",1,2,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L2_Rule0_d_ac_yoy_Cott"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_rbt","e30ce930-9753-439b-9aea-6e2c97268482",1,2,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L2_Rule0_d_ac_yoy_rbt"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_rbt","e30ce930-9753-439b-9aea-6e2c97268482",1,3,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L3_Rule0_d_ac_yoy_rbt"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_rbt","92861508-db6f-4890-b2ca-183041768c91",1,2,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L2_Rule0_d_ac_yoy_rbt"
"LBR_Fish_BCG_v1","Main_BarberPool","d_ac_yoy_rbt","92861508-db6f-4890-b2ca-183041768c91",1,3,"> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L3_Rule0_d_ac_yoy_rbt"
"LBR_Fish_BCG_v1","Main_BarberPool","n_ac_Cott","e30ce930-9753-439b-9aea-6e2c97268482",4,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of age classes - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L4_Rule0_n_ac_Cott"
"LBR_Fish_BCG_v1","Main_BarberPool","n_ac_Cott","e30ce930-9753-439b-9aea-6e2c97268482",4,3,"> 2 (2-3.5)",">",2,3.5,TRUE,"number of age classes - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA,"Main_BarberPool","Main_BarberPool",1,"Main_BarberPool_L3_Rule0_n_ac_Cott"
